Taxonomic_group,Label,French_name
Aves,Falco tinnunculus,Faucon crécerelle
Aves,Falco vespertinus,Faucon kobez
Aves,Falco amurensis,Faucon de l'Amour
Aves,Falco eleonorae,Faucon d'Éléonore
Aves,Falco concolor,Faucon concolore
Aves,Falco columbarius,Faucon émerillon
Aves,Falco subbuteo,Faucon hobereau
Aves,Falco biarmicus,Faucon lanier
Aves,Falco cherrug,Faucon sacre
Aves,Falco rusticolus,Faucon gerfaut
Aves,Falco peregrinus,Faucon pèlerin
Aves,Psittacula krameri,Perruche à collier
Aves,Vireo olivaceus,Viréo aux yeux rouges
Aves,Oriolus oriolus,Loriot d'Europe
Aves,Lanius collurio,Pie-grièche écorcheur
Aves,Lanius phoenicuroides,Pie-grièche du Turkestan
Aves,Lanius isabellinus,Pie-grièche isabelle
Aves,Lanius cristatus,Pie-grièche brune
Aves,Lanius meridionalis,Pie-grièche méridionale
Aves,Lanius excubitor,Pie-grièche grise
Aves,Lanius minor,Pie-grièche à poitrine rose
Aves,Lanius nubicus,Pie-grièche masquée
Aves,Lanius senator,Pie-grièche à tête rousse
Aves,Garrulus glandarius,Geai des chênes
Aves,Pica pica,Pie bavarde
Aves,Nucifraga caryocatactes,Cassenoix moucheté
Aves,Pyrrhocorax pyrrhocorax,Crave à bec rouge
Aves,Pyrrhocorax graculus,Chocard à bec jaune
Aves,Corvus monedula,Choucas des tours
Aves,Corvus dauuricus,Choucas de Daourie
Aves,Corvus frugilegus,Corbeau freux
Aves,Corvus corone,Corneille noire
Aves,Corvus cornix,Corneille mantelée
Aves,Corvus rhipidurus,Corbeau à queue courte
Aves,Corvus corax,Grand Corbeau
Aves,Periparus ater,Mésange noire
Aves,Lophophanes cristatus,Mésange huppée
Aves,Poecile palustris,Mésange nonnette
Aves,Poecile montanus,Mésange boréale
Aves,Cyanistes caeruleus,Mésange bleue
Aves,Cyanistes cyanus,Mésange azurée
Aves,Parus major,Mésange charbonnière
Aves,Remiz pendulinus,Rémiz penduline
Aves,Ammomanes cinctura,Ammomane élégante
Aves,Eremophila alpestris,Alouette hausse-col
Aves,Calandrella brachydactyla,Alouette calandrelle
Aves,Melanocorypha bimaculata,Alouette monticole
Aves,Melanocorypha calandra,Alouette calandre
Aves,Chersophilus duponti,Alouette de Dupont
Aves,Lullula arborea,Alouette lulu
Aves,Alauda arvensis,Alouette des champs
Aves,Galerida theklae,Cochevis de Thékla
Aves,Galerida cristata,Cochevis huppé
Aves,Panurus biarmicus,Panure à moustaches
Aves,Cisticola juncidis,Cisticole des joncs
Aves,Iduna caligata,Hypolaïs bottée
Aves,Iduna rama,Hypolaïs rama
Aves,Iduna pallida,Hypolaïs pâle
Aves,Iduna opaca,Hypolaïs obscure
Aves,Hippolais polyglotta,Hypolaïs polyglotte
Aves,Hippolais icterina,Hypolaïs ictérine
Aves,Acrocephalus paludicola,Phragmite aquatique
Aves,Acrocephalus melanopogon,Lusciniole à moustaches
Aves,Acrocephalus schoenobaenus,Phragmite des joncs
Aves,Acrocephalus agricola,Rousserolle isabelle
Aves,Acrocephalus dumetorum,Rousserolle des buissons
Aves,Acrocephalus palustris,Rousserolle verderolle
Aves,Acrocephalus scirpaceus,Rousserolle effarvatte
Aves,Acrocephalus baeticatus,Rousserolle africaine
Aves,Acrocephalus arundinaceus,Rousserolle turdoïde
Aves,Helopsaltes fasciolatus,Locustelle fasciée
Aves,Helopsaltes certhiola,Locustelle de Pallas
Aves,Locustella lanceolata,Locustelle lancéolée
Aves,Locustella fluviatilis,Locustelle fluviatile
Aves,Locustella luscinioides,Locustelle luscinioïde
Aves,Locustella naevia,Locustelle tachetée
Aves,Riparia paludicola,Hirondelle paludicole
Aves,Riparia riparia,Hirondelle de rivage
Aves,Ptyonoprogne rupestris,Hirondelle de rochers
Aves,Hirundo rustica,Hirondelle rustique
Aves,Cecropis daurica,Hirondelle rousseline
Aves,Petrochelidon pyrrhonota,Hirondelle à front blanc
Aves,Delichon urbicum,Hirondelle de fenêtre
Aves,Phylloscopus sibilatrix,Pouillot siffleur
Aves,Phylloscopus bonelli,Pouillot de Bonelli
Aves,Phylloscopus orientalis,Pouillot oriental
Aves,Phylloscopus inornatus,Pouillot à grands sourcils
Aves,Phylloscopus humei,Pouillot de Hume
Aves,Phylloscopus proregulus,Pouillot de Pallas
Aves,Phylloscopus schwarzi,Pouillot de Schwarz
Aves,Phylloscopus fuscatus,Pouillot brun
Aves,Phylloscopus trochilus,Pouillot fitis
Aves,Phylloscopus collybita,Pouillot véloce
Aves,Phylloscopus ibericus,Pouillot ibérique
Aves,Phylloscopus coronatus,Pouillot de Temminck
Aves,Phylloscopus trochiloides,Pouillot verdâtre
Aves,Phylloscopus plumbeitarsus,Pouillot à deux barres
Aves,Phylloscopus borealis,Pouillot boréal
Aves,Cettia cetti,Bouscarle de Cetti
Aves,Aegithalos caudatus,Orite à longue queue
Aves,Sylvia atricapilla,Fauvette à tête noire
Aves,Sylvia borin,Fauvette des jardins
Aves,Curruca nisoria,Fauvette épervière
Aves,Curruca curruca,Fauvette babillarde
Aves,Curruca hortensis,Fauvette orphée
Aves,Curruca nana,Fauvette naine
Aves,Curruca deserticola,Fauvette de l'Atlas
Aves,Curruca ruppeli,Fauvette de Rüppell
